TrialNumber,SubjectID,Scene,RefFilename,RefPath,LeftCondition,LeftFilename,LeftMetric,LeftLevel,LeftPath,RightCondition,RightFilename,RightMetric,RightLevel,RightPath
27,ref,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:temporal-resolution-multiplexing_level1,zeroday/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/temporal-resolution-multiplexing/level1/video0.rgb,zeroday:reference,zeroday/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb
28,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:restir_level1,pink_room/restir/level1/video0.rgb,restir,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/restir/level1/video0.rgb
29,ref,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:noise_colors_level2,bistro_interior/noise_colors/level2/video0.rgb,noise_colors,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/noise_colors/level2/video0.rgb,bistro_interior:reference,bistro_interior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb
30,ref,landscape,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:reference,landscape/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:duration_flicker_level1,landscape/duration_flicker/level1/video0.rgb,duration_flicker,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/duration_flicker/level1/video0.rgb
31,ref,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:reference,bistro_interior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:duration_flicker_level0,bistro_interior/duration_flicker/level0/video0.rgb,duration_flicker,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/duration_flicker/level0/video0.rgb
32,ref,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:temporal-resolution-multiplexing_level2,bistro_interior/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/temporal-resolution-multiplexing/level2/video0.rgb,bistro_interior:reference,bistro_interior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb
33,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:motion_resolution_level1,attic/motion_resolution/level1/video0.rgb,motion_resolution,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/motion_resolution/level1/video0.rgb,attic:duration_flicker_level2,attic/duration_flicker/level2/video0.rgb,duration_flicker,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/duration_flicker/level2/video0.rgb
34,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:judder_level2,subway/judder/level2/video0.rgb,judder,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/judder/level2/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb
35,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:duration_flicker_level1,pink_room/duration_flicker/level1/video0.rgb,duration_flicker,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/duration_flicker/level1/video0.rgb
36,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:reference,marbles/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:dlss_rr_level0,marbles/dlss_rr/level0/video0.rgb,dlss_rr,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/dlss_rr/level0/video0.rgb
37,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:judder_level2,attic/judder/level2/video0.rgb,judder,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/judder/level2/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb
38,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:noise_colors_level0,pink_room/noise_colors/level0/video0.rgb,noise_colors,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/noise_colors/level0/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb
39,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:dlss_rr_level2,pink_room/dlss_rr/level2/video0.rgb,dlss_rr,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/dlss_rr/level2/video0.rgb
40,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:motion_noise_level1,attic/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/motion_noise/level1/video0.rgb,attic:noise_colors_level0,attic/noise_colors/level0/video0.rgb,noise_colors,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/noise_colors/level0/video0.rgb
41,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:motion_resolution_level0,marbles/motion_resolution/level0/video0.rgb,motion_resolution,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/motion_resolution/level0/video0.rgb,marbles:reference,marbles/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb
42,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:motion_resolution_level2,attic/motion_resolution/level2/video0.rgb,motion_resolution,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/motion_resolution/level2/video0.rgb,attic:stutter_level2,attic/stutter/level2/video0.rgb,stutter,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/stutter/level2/video0.rgb
43,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:duration_flicker_level0,attic/duration_flicker/level0/video0.rgb,duration_flicker,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/duration_flicker/level0/video0.rgb
44,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:duration_flicker_level1,classroom/duration_flicker/level1/video0.rgb,duration_flicker,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/duration_flicker/level1/video0.rgb
45,ref,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:reference,pink_room/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:dlss_rr_level1,pink_room/dlss_rr/level1/video0.rgb,dlss_rr,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/dlss_rr/level1/video0.rgb
46,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:stutter_level0,subway/stutter/level0/video0.rgb,stutter,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/stutter/level0/video0.rgb
47,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:motion_noise_level1,marbles/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/motion_noise/level1/video0.rgb,marbles:reference,marbles/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb
48,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:motion_noise_level1,attic/motion_noise/level1/video0.rgb,motion_noise,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/motion_noise/level1/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb
49,ref,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:reference,bistro_interior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:motion_noise_level2,bistro_interior/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/motion_noise/level2/video0.rgb
50,ref,landscape,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:dlss_rr_level0,landscape/dlss_rr/level0/video0.rgb,dlss_rr,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/dlss_rr/level0/video0.rgb,landscape:reference,landscape/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb
51,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:restir_level2,subway/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/restir/level2/video0.rgb,subway:motion_noise_level2,subway/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/motion_noise/level2/video0.rgb
52,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:stutter_level0,classroom/stutter/level0/video0.rgb,stutter,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/stutter/level0/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb
53,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:stutter_level0,subway/stutter/level0/video0.rgb,stutter,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/stutter/level0/video0.rgb,subway:stutter_level1,subway/stutter/level1/video0.rgb,stutter,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/stutter/level1/video0.rgb
54,ref,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:reference,bistro_exterior/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:restir_level1,bistro_exterior/restir/level1/video0.rgb,restir,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/restir/level1/video0.rgb
55,ref,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:motion_noise_level2,classroom/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/motion_noise/level2/video0.rgb,classroom:reference,classroom/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb
56,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:motion_resolution_level2,subway/motion_resolution/level2/video0.rgb,motion_resolution,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/motion_resolution/level2/video0.rgb
57,ref,landscape,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:temporal-resolution-multiplexing_level1,landscape/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/temporal-resolution-multiplexing/level1/video0.rgb,landscape:reference,landscape/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb
58,ref,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:reference,attic/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:judder_level0,attic/judder/level0/video0.rgb,judder,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/judder/level0/video0.rgb
59,ref,marbles,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/reference/video0.rgb,marbles:restir_level2,marbles/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/restir/level2/video0.rgb,marbles:noise_colors_level1,marbles/noise_colors/level1/video0.rgb,noise_colors,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/marbles/noise_colors/level1/video0.rgb
60,ref,subway,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:reference,subway/reference/video0.rgb,reference,reference,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/reference/video0.rgb,subway:dlss_rr_level1,subway/dlss_rr/level1/video0.rgb,dlss_rr,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/subway/dlss_rr/level1/video0.rgb
