Scene,RankInScene,ConditionName,Filename,Metric,Level,VisualQuality_Mean,Uncertainty_StdDev,ComparisonsCount
landscape,26,landscape:stutter_level2,landscape/stutter/level2/video0.rgb,stutter,level2,-1.15818,0.36445,15
landscape,27,landscape:motion_resolution_level2,landscape/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.21532,0.41790,10
marbles,1,marbles:temporal-resolution-multiplexing_level0,marbles/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+1.21991,0.41195,11
marbles,2,marbles:noise_colors_level0,marbles/noise_colors/level0/video0.rgb,noise_colors,level0,+1.11529,0.38759,10
marbles,3,marbles:judder_level0,marbles/judder/level0/video0.rgb,judder,level0,+0.92379,0.40277,9
marbles,4,marbles:stutter_level0,marbles/stutter/level0/video0.rgb,stutter,level0,+0.84109,0.37332,12
marbles,5,marbles:motion_noise_level0,marbles/motion_noise/level0/video0.rgb,motion_noise,level0,+0.73116,0.36115,12
marbles,6,marbles:judder_level1,marbles/judder/level1/video0.rgb,judder,level1,+0.69312,0.36445,11
marbles,7,marbles:stutter_level1,marbles/stutter/level1/video0.rgb,stutter,level1,+0.60319,0.32537,15
marbles,8,marbles:dlss_rr_level0,marbles/dlss_rr/level0/video0.rgb,dlss_rr,level0,+0.50195,0.36707,12
marbles,9,marbles:motion_noise_level1,marbles/motion_noise/level1/video0.rgb,motion_noise,level1,+0.43027,0.33755,14
marbles,10,marbles:motion_noise_level2,marbles/motion_noise/level2/video0.rgb,motion_noise,level2,+0.40511,0.37541,11
marbles,11,marbles:restir_level0,marbles/restir/level0/video0.rgb,restir,level0,+0.30961,0.37727,10
marbles,12,marbles:dlss_rr_level1,marbles/dlss_rr/level1/video0.rgb,dlss_rr,level1,+0.19376,0.39774,10
marbles,13,marbles:dlss_rr_level2,marbles/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.00320,0.40027,9
marbles,14,marbles:duration_flicker_level0,marbles/duration_flicker/level0/video0.rgb,duration_flicker,level0,-0.05291,0.39027,9
marbles,15,marbles:duration_flicker_level1,marbles/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.14220,0.35636,13
marbles,16,marbles:motion_resolution_level0,marbles/motion_resolution/level0/video0.rgb,motion_resolution,level0,-0.18310,0.36987,11
marbles,17,marbles:judder_level2,marbles/judder/level2/video0.rgb,judder,level2,-0.22784,0.34742,13
marbles,18,marbles:temporal-resolution-multiplexing_level1,marbles/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.36586,0.38560,10
marbles,19,marbles:restir_level1,marbles/restir/level1/video0.rgb,restir,level1,-0.40727,0.33891,14
marbles,20,marbles:restir_level2,marbles/restir/level2/video0.rgb,restir,level2,-0.43171,0.34879,15
marbles,21,marbles:duration_flicker_level2,marbles/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.43665,0.35456,13
marbles,22,marbles:stutter_level2,marbles/stutter/level2/video0.rgb,stutter,level2,-0.60242,0.38522,9
marbles,23,marbles:temporal-resolution-multiplexing_level2,marbles/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.65454,0.38449,10
marbles,24,marbles:noise_colors_level1,marbles/noise_colors/level1/video0.rgb,noise_colors,level1,-0.68480,0.37639,11
marbles,25,marbles:noise_colors_level2,marbles/noise_colors/level2/video0.rgb,noise_colors,level2,-1.05160,0.35957,13
marbles,26,marbles:motion_resolution_level1,marbles/motion_resolution/level1/video0.rgb,motion_resolution,level1,-1.27151,0.38143,13
marbles,27,marbles:motion_resolution_level2,marbles/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.42833,0.39493,12
pink_room,1,pink_room:judder_level1,pink_room/judder/level1/video0.rgb,judder,level1,+1.35086,0.40245,10
pink_room,2,pink_room:stutter_level0,pink_room/stutter/level0/video0.rgb,stutter,level0,+1.00919,0.33650,18
pink_room,3,pink_room:motion_noise_level0,pink_room/motion_noise/level0/video0.rgb,motion_noise,level0,+1.00271,0.36412,13
pink_room,4,pink_room:temporal-resolution-multiplexing_level0,pink_room/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+0.72163,0.35965,11
pink_room,5,pink_room:motion_noise_level1,pink_room/motion_noise/level1/video0.rgb,motion_noise,level1,+0.69495,0.37986,10
pink_room,6,pink_room:noise_colors_level0,pink_room/noise_colors/level0/video0.rgb,noise_colors,level0,+0.42708,0.36223,11
pink_room,7,pink_room:stutter_level1,pink_room/stutter/level1/video0.rgb,stutter,level1,+0.39180,0.33198,15
pink_room,8,pink_room:motion_noise_level2,pink_room/motion_noise/level2/video0.rgb,motion_noise,level2,+0.38614,0.37259,11
pink_room,9,pink_room:judder_level0,pink_room/judder/level0/video0.rgb,judder,level0,+0.24892,0.38058,9
pink_room,10,pink_room:restir_level2,pink_room/restir/level2/video0.rgb,restir,level2,+0.24511,0.37480,11
pink_room,11,pink_room:restir_level0,pink_room/restir/level0/video0.rgb,restir,level0,+0.18068,0.36137,11
