ConditionIndex,ConditionName,Scene,Metric,Level,VisualQualityScore_Mean,Uncertainty_StdDev
149,pink_room:judder_level2,pink_room,judder,level2,0.000000,0.707107
150,pink_room:motion_noise_level0,pink_room,motion_noise,level0,0.000000,0.707107
151,pink_room:motion_noise_level1,pink_room,motion_noise,level1,0.000000,0.707107
152,pink_room:motion_noise_level2,pink_room,motion_noise,level2,0.000000,0.707107
153,pink_room:motion_resolution_level0,pink_room,motion_resolution,level0,0.000000,0.707107
154,pink_room:motion_resolution_level1,pink_room,motion_resolution,level1,0.000000,0.707107
155,pink_room:motion_resolution_level2,pink_room,motion_resolution,level2,0.000000,0.707107
156,pink_room:noise_colors_level0,pink_room,noise_colors,level0,0.000000,0.707107
157,pink_room:noise_colors_level1,pink_room,noise_colors,level1,0.000000,0.707107
158,pink_room:noise_colors_level2,pink_room,noise_colors,level2,0.000000,0.707107
159,pink_room:restir_level0,pink_room,restir,level0,0.000000,0.707107
160,pink_room:restir_level1,pink_room,restir,level1,0.000000,0.707107
161,pink_room:restir_level2,pink_room,restir,level2,0.000000,0.707107
162,pink_room:stutter_level0,pink_room,stutter,level0,0.000000,0.707107
163,pink_room:stutter_level1,pink_room,stutter,level1,0.000000,0.707107
164,pink_room:stutter_level2,pink_room,stutter,level2,0.000000,0.707107
165,pink_room:temporal-resolution-multiplexing_level0,pink_room,temporal-resolution-multiplexing,level0,0.000000,0.707107
166,pink_room:temporal-resolution-multiplexing_level1,pink_room,temporal-resolution-multiplexing,level1,0.000000,0.707107
167,pink_room:temporal-resolution-multiplexing_level2,pink_room,temporal-resolution-multiplexing,level2,0.000000,0.707107
168,subway:dlss_rr_level0,subway,dlss_rr,level0,0.000000,0.707107
169,subway:dlss_rr_level1,subway,dlss_rr,level1,0.000000,0.707107
170,subway:dlss_rr_level2,subway,dlss_rr,level2,0.000000,0.707107
171,subway:judder_level0,subway,judder,level0,0.000000,0.707107
172,subway:judder_level1,subway,judder,level1,0.000000,0.707107
173,subway:judder_level2,subway,judder,level2,0.000000,0.707107
174,subway:motion_noise_level0,subway,motion_noise,level0,0.000000,0.707107
175,subway:motion_noise_level1,subway,motion_noise,level1,0.000000,0.707107
176,subway:motion_noise_level2,subway,motion_noise,level2,0.000000,0.707107
177,subway:motion_resolution_level0,subway,motion_resolution,level0,0.000000,0.707107
178,subway:motion_resolution_level1,subway,motion_resolution,level1,0.000000,0.707107
179,subway:motion_resolution_level2,subway,motion_resolution,level2,0.000000,0.707107
180,subway:noise_colors_level0,subway,noise_colors,level0,0.000000,0.707107
181,subway:noise_colors_level1,subway,noise_colors,level1,0.000000,0.707107
182,subway:noise_colors_level2,subway,noise_colors,level2,0.000000,0.707107
183,subway:restir_level0,subway,restir,level0,0.000000,0.707107
184,subway:restir_level1,subway,restir,level1,0.000000,0.707107
