SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
Jorge2,114,bistro_interior,bistro_interior:motion_resolution_level0,bistro_interior:restir_level0,RIGHT,bistro_interior:restir_level0,bistro_interior:motion_resolution_level0,7.9459,240.0
Jorge2,115,marbles,marbles:noise_colors_level2,marbles:motion_resolution_level1,LEFT,marbles:noise_colors_level2,marbles:motion_resolution_level1,5.2417,240.01
Jorge2,116,marbles,marbles:motion_noise_level2,marbles:restir_level1,LEFT,marbles:motion_noise_level2,marbles:restir_level1,5.3417,240.01
Jorge2,117,landscape,landscape:restir_level1,landscape:temporal-resolution-multiplexing_level1,RIGHT,landscape:temporal-resolution-multiplexing_level1,landscape:restir_level1,5.6376,240.01
Jorge2,118,marbles,marbles:noise_colors_level1,marbles:duration_flicker_level2,RIGHT,marbles:duration_flicker_level2,marbles:noise_colors_level1,6.7167,240.01
Jorge2,119,classroom,classroom:duration_flicker_level2,classroom:motion_resolution_level1,LEFT,classroom:duration_flicker_level2,classroom:motion_resolution_level1,6.8925,239.98
Jorge2,120,classroom,classroom:motion_resolution_level2,classroom:motion_resolution_level0,RIGHT,classroom:motion_resolution_level0,classroom:motion_resolution_level2,5.1674,239.97
Jorge2,121,bistro_exterior,bistro_exterior:noise_colors_level0,bistro_exterior:dlss_rr_level1,LEFT,bistro_exterior:noise_colors_level0,bistro_exterior:dlss_rr_level1,5.2215,239.98
Jorge2,122,attic,attic:stutter_level1,attic:restir_level0,LEFT,attic:stutter_level1,attic:restir_level0,5.05,240.01
Jorge2,123,marbles,marbles:motion_resolution_level0,marbles:motion_resolution_level1,LEFT,marbles:motion_resolution_level0,marbles:motion_resolution_level1,4.925,240.01
Jorge2,124,bistro_exterior,bistro_exterior:restir_level0,bistro_exterior:stutter_level0,RIGHT,bistro_exterior:stutter_level0,bistro_exterior:restir_level0,9.2925,239.98
Jorge2,125,attic,attic:stutter_level1,attic:noise_colors_level2,LEFT,attic:stutter_level1,attic:noise_colors_level2,4.3209,240.01
Jorge2,126,pink_room,pink_room:motion_resolution_level0,pink_room:noise_colors_level1,LEFT,pink_room:motion_resolution_level0,pink_room:noise_colors_level1,5.1089,239.98
Jorge2,127,marbles,marbles:temporal-resolution-multiplexing_level0,marbles:motion_resolution_level1,LEFT,marbles:temporal-resolution-multiplexing_level0,marbles:motion_resolution_level1,4.9918,240.0
Jorge2,128,attic,attic:temporal-resolution-multiplexing_level1,attic:motion_resolution_level1,RIGHT,attic:motion_resolution_level1,attic:temporal-resolution-multiplexing_level1,6.3584,240.01
Jorge2,129,bistro_exterior,bistro_exterior:motion_noise_level1,bistro_exterior:stutter_level0,RIGHT,bistro_exterior:stutter_level0,bistro_exterior:motion_noise_level1,5.0209,240.01
Jorge2,130,marbles,marbles:dlss_rr_level0,marbles:judder_level1,RIGHT,marbles:judder_level1,marbles:dlss_rr_level0,4.7167,240.01
Jorge2,131,bistro_interior,bistro_interior:judder_level1,bistro_interior:temporal-resolution-multiplexing_level2,LEFT,bistro_interior:judder_level1,bistro_interior:temporal-resolution-multiplexing_level2,4.7334,240.01
Jorge2,132,bistro_exterior,bistro_exterior:temporal-resolution-multiplexing_level2,bistro_exterior:motion_resolution_level1,RIGHT,bistro_exterior:motion_resolution_level1,bistro_exterior:temporal-resolution-multiplexing_level2,6.4709,240.0
Jorge2,133,landscape,landscape:duration_flicker_level1,landscape:temporal-resolution-multiplexing_level1,RIGHT,landscape:temporal-resolution-multiplexing_level1,landscape:duration_flicker_level1,5.3334,240.01
Jorge2,134,classroom,classroom:motion_noise_level2,classroom:dlss_rr_level2,RIGHT,classroom:dlss_rr_level2,classroom:motion_noise_level2,5.2131,239.98
Jorge2,135,marbles,marbles:duration_flicker_level2,marbles:stutter_level2,LEFT,marbles:duration_flicker_level2,marbles:stutter_level2,4.3713,239.98
Jorge2,136,zeroday,zeroday:motion_resolution_level1,zeroday:motion_resolution_level0,RIGHT,zeroday:motion_resolution_level0,zeroday:motion_resolution_level1,5.4459,240.01
Jorge2,137,marbles,marbles:restir_level0,marbles:motion_noise_level2,RIGHT,marbles:motion_noise_level2,marbles:restir_level0,5.1625,240.01
Jorge2,138,bistro_exterior,bistro_exterior:duration_flicker_level2,bistro_exterior:stutter_level0,RIGHT,bistro_exterior:stutter_level0,bistro_exterior:duration_flicker_level2,5.2167,240.01
Jorge2,139,subway,subway:judder_level2,subway:noise_colors_level2,LEFT,subway:judder_level2,subway:noise_colors_level2,5.4967,239.97
Jorge2,140,subway,subway:restir_level0,subway:dlss_rr_level2,RIGHT,subway:dlss_rr_level2,subway:restir_level0,5.2424,239.98
Jorge2,141,zeroday,zeroday:dlss_rr_level1,zeroday:motion_noise_level2,LEFT,zeroday:dlss_rr_level1,zeroday:motion_noise_level2,5.4464,239.98
Jorge2,142,classroom,classroom:stutter_level1,classroom:temporal-resolution-multiplexing_level0,LEFT,classroom:stutter_level1,classroom:temporal-resolution-multiplexing_level0,4.9758,239.97
Jorge2,143,marbles,marbles:motion_noise_level1,marbles:judder_level1,LEFT,marbles:motion_noise_level1,marbles:judder_level1,5.5674,239.97
Jorge2,144,attic,attic:judder_level0,attic:duration_flicker_level0,LEFT,attic:judder_level0,attic:duration_flicker_level0,4.7209,240.01
Jorge2,145,marbles,marbles:judder_level0,marbles:judder_level1,RIGHT,marbles:judder_level1,marbles:judder_level0,5.7383,239.98
Jorge2,146,landscape,landscape:stutter_level2,landscape:noise_colors_level2,RIGHT,landscape:noise_colors_level2,landscape:stutter_level2,5.3209,240.0
Jorge2,147,pink_room,pink_room:motion_noise_level2,pink_room:duration_flicker_level2,LEFT,pink_room:motion_noise_level2,pink_room:duration_flicker_level2,9.2836,240.0
Jorge2,148,subway,subway:restir_level1,subway:noise_colors_level0,RIGHT,subway:noise_colors_level0,subway:restir_level1,5.3,240.01
Jorge2,149,zeroday,zeroday:motion_resolution_level1,zeroday:duration_flicker_level0,RIGHT,zeroday:duration_flicker_level0,zeroday:motion_resolution_level1,5.1792,240.01
Jorge2,150,bistro_interior,bistro_interior:judder_level1,bistro_interior:motion_resolution_level1,LEFT,bistro_interior:judder_level1,bistro_interior:motion_resolution_level1,5.5879,239.99
Jorge2,151,landscape,landscape:dlss_rr_level0,landscape:stutter_level2,LEFT,landscape:dlss_rr_level0,landscape:stutter_level2,4.5591,239.97
Jorge2,152,bistro_exterior,bistro_exterior:dlss_rr_level1,bistro_exterior:stutter_level0,RIGHT,bistro_exterior:stutter_level0,bistro_exterior:dlss_rr_level1,5.8167,240.01
Jorge2,153,zeroday,zeroday:motion_resolution_level2,zeroday:motion_noise_level1,RIGHT,zeroday:motion_noise_level1,zeroday:motion_resolution_level2,5.5752,240.0
Jorge2,154,bistro_exterior,bistro_exterior:stutter_level1,bistro_exterior:judder_level2,LEFT,bistro_exterior:stutter_level1,bistro_exterior:judder_level2,5.3383,239.98
Jorge2,155,attic,attic:dlss_rr_level1,attic:judder_level2,LEFT,attic:dlss_rr_level1,attic:judder_level2,6.9793,240.0
Jorge2,156,classroom,classroom:temporal-resolution-multiplexing_level0,classroom:noise_colors_level0,LEFT,classroom:temporal-resolution-multiplexing_level0,classroom:noise_colors_level0,5.1417,240.01
Jorge2,157,classroom,classroom:temporal-resolution-multiplexing_level0,classroom:temporal-resolution-multiplexing_level1,LEFT,classroom:temporal-resolution-multiplexing_level0,classroom:temporal-resolution-multiplexing_level1,4.6125,240.01
Jorge2,158,bistro_exterior,bistro_exterior:dlss_rr_level0,bistro_exterior:dlss_rr_level2,LEFT,bistro_exterior:dlss_rr_level0,bistro_exterior:dlss_rr_level2,5.0631,239.98
Jorge2,159,landscape,landscape:dlss_rr_level1,landscape:stutter_level2,LEFT,landscape:dlss_rr_level1,landscape:stutter_level2,5.2258,239.97
Jorge2,160,landscape,landscape:duration_flicker_level0,landscape:motion_resolution_level0,LEFT,landscape:duration_flicker_level0,landscape:motion_resolution_level0,4.6631,239.98
Jorge2,161,bistro_exterior,bistro_exterior:dlss_rr_level0,bistro_exterior:duration_flicker_level1,LEFT,bistro_exterior:dlss_rr_level0,bistro_exterior:duration_flicker_level1,5.3084,240.0
Jorge2,162,subway,subway:motion_resolution_level1,subway:dlss_rr_level0,LEFT,subway:motion_resolution_level1,subway:dlss_rr_level0,5.3459,240.01
Jorge2,163,bistro_exterior,bistro_exterior:restir_level2,bistro_exterior:dlss_rr_level1,RIGHT,bistro_exterior:dlss_rr_level1,bistro_exterior:restir_level2,10.4631,239.99
Jorge2,164,landscape,landscape:noise_colors_level1,landscape:judder_level1,LEFT,landscape:noise_colors_level1,landscape:judder_level1,4.9586,239.99
Jorge2,165,classroom,classroom:dlss_rr_level0,classroom:motion_noise_level1,LEFT,classroom:dlss_rr_level0,classroom:motion_noise_level1,6.7459,240.01
