observer,scene,condition_A,condition_B,is_A_selected,metric_A,level_A,metric_B,level_B,response_time_sec
Jorge,classroom,motion_resolution_level2,judder_level1,0,motion_resolution,level2,judder,level1,4.9800
Jorge,landscape,duration_flicker_level1,judder_level2,1,duration_flicker,level1,judder,level2,5.2468
Jorge,zeroday,stutter_level0,motion_noise_level1,1,stutter,level0,motion_noise,level1,5.4885
Jorge,subway,duration_flicker_level2,motion_noise_level1,1,duration_flicker,level2,motion_noise,level1,8.2514
Jorge,classroom,dlss_rr_level1,motion_resolution_level1,1,dlss_rr,level1,motion_resolution,level1,4.7925
Jorge,zeroday,judder_level2,stutter_level2,0,judder,level2,stutter,level2,5.6509
Jorge,bistro_exterior,restir_level1,stutter_level2,1,restir,level1,stutter,level2,5.4010
Jorge,pink_room,duration_flicker_level1,motion_resolution_level1,1,duration_flicker,level1,motion_resolution,level1,5.2967
Jorge,classroom,duration_flicker_level0,motion_resolution_level1,1,duration_flicker,level0,motion_resolution,level1,4.7175
Jorge,bistro_interior,stutter_level0,noise_colors_level0,0,stutter,level0,noise_colors,level0,5.5260
Jorge,landscape,motion_noise_level2,motion_resolution_level0,1,motion_noise,level2,motion_resolution,level0,5.3426
Jorge,attic,stutter_level2,restir_level1,0,stutter,level2,restir,level1,4.8841
Jorge,classroom,stutter_level1,motion_noise_level0,1,stutter,level1,motion_noise,level0,4.6217
Jorge,bistro_interior,duration_flicker_level2,judder_level2,1,duration_flicker,level2,judder,level2,5.2675
Jorge,classroom,stutter_level2,temporal-resolution-multiplexing_level1,0,stutter,level2,temporal-resolution-multiplexing,level1,4.8635
Jorge,zeroday,stutter_level0,noise_colors_level1,1,stutter,level0,noise_colors,level1,9.3472
Jorge,classroom,dlss_rr_level1,temporal-resolution-multiplexing_level0,0,dlss_rr,level1,temporal-resolution-multiplexing,level0,4.7384
Jorge,classroom,stutter_level1,judder_level2,1,stutter,level1,judder,level2,4.6675
Jorge,pink_room,duration_flicker_level2,temporal-resolution-multiplexing_level1,1,duration_flicker,level2,temporal-resolution-multiplexing,level1,5.5343
Jorge,bistro_interior,restir_level0,restir_level2,1,restir,level0,restir,level2,5.4135
Jorge,classroom,motion_resolution_level0,noise_colors_level0,0,motion_resolution,level0,noise_colors,level0,5.1051
Jorge,marbles,motion_noise_level2,noise_colors_level2,1,motion_noise,level2,noise_colors,level2,5.3258
Jorge,classroom,duration_flicker_level2,temporal-resolution-multiplexing_level1,0,duration_flicker,level2,temporal-resolution-multiplexing,level1,4.9592
Jorge,pink_room,judder_level2,motion_noise_level1,0,judder,level2,motion_noise,level1,5.4092
Jorge,pink_room,duration_flicker_level1,motion_noise_level0,0,duration_flicker,level1,motion_noise,level0,5.3550
Jorge,landscape,temporal-resolution-multiplexing_level2,stutter_level1,0,temporal-resolution-multiplexing,level2,stutter,level1,5.3593
Jorge,classroom,duration_flicker_level2,dlss_rr_level2,0,duration_flicker,level2,dlss_rr,level2,4.8884
Jorge,marbles,motion_resolution_level0,motion_noise_level1,0,motion_resolution,level0,motion_noise,level1,5.4884
Jorge,landscape,temporal-resolution-multiplexing_level2,motion_resolution_level2,1,temporal-resolution-multiplexing,level2,motion_resolution,level2,5.3551
Jorge,zeroday,motion_resolution_level0,duration_flicker_level2,1,motion_resolution,level0,duration_flicker,level2,5.3635
Jorge,bistro_interior,judder_level1,motion_noise_level0,0,judder,level1,motion_noise,level0,5.2551
Jorge,classroom,dlss_rr_level0,temporal-resolution-multiplexing_level2,1,dlss_rr,level0,temporal-resolution-multiplexing,level2,4.7008
Jorge,bistro_exterior,noise_colors_level1,stutter_level2,1,noise_colors,level1,stutter,level2,5.4176
Jorge,marbles,temporal-resolution-multiplexing_level1,noise_colors_level0,0,temporal-resolution-multiplexing,level1,noise_colors,level0,5.4594
Jorge,landscape,motion_noise_level0,temporal-resolution-multiplexing_level2,1,motion_noise,level0,temporal-resolution-multiplexing,level2,5.3677
Jorge,bistro_interior,restir_level0,temporal-resolution-multiplexing_level0,0,restir,level0,temporal-resolution-multiplexing,level0,5.3427
Jorge,attic,motion_noise_level0,noise_colors_level1,0,motion_noise,level0,noise_colors,level1,4.9675
Jorge,pink_room,motion_resolution_level0,temporal-resolution-multiplexing_level1,1,motion_resolution,level0,temporal-resolution-multiplexing,level1,5.2593
Jorge,zeroday,motion_resolution_level2,duration_flicker_level1,0,motion_resolution,level2,duration_flicker,level1,5.5052
Jorge,zeroday,stutter_level2,temporal-resolution-multiplexing_level1,0,stutter,level2,temporal-resolution-multiplexing,level1,5.5176
Jorge,pink_room,restir_level2,restir_level0,0,restir,level2,restir,level0,5.1843
Jorge,classroom,restir_level2,duration_flicker_level2,1,restir,level2,duration_flicker,level2,5.0633
Jorge,marbles,stutter_level0,motion_resolution_level1,1,stutter,level0,motion_resolution,level1,4.3426
Jorge,classroom,motion_noise_level1,restir_level2,1,motion_noise,level1,restir,level2,4.5467
Jorge,bistro_exterior,dlss_rr_level2,motion_noise_level2,0,dlss_rr,level2,motion_noise,level2,5.4426
Jorge,zeroday,temporal-resolution-multiplexing_level0,judder_level2,1,temporal-resolution-multiplexing,level0,judder,level2,6.2136
Jorge,marbles,temporal-resolution-multiplexing_level2,stutter_level2,1,temporal-resolution-multiplexing,level2,stutter,level2,6.6095
Jorge,classroom,restir_level0,motion_noise_level2,1,restir,level0,motion_noise,level2,5.1135
Jorge,attic,stutter_level2,motion_resolution_level2,0,stutter,level2,motion_resolution,level2,4.9050
Jorge,landscape,restir_level2,stutter_level0,0,restir,level2,stutter,level0,5.4093
Jorge,attic,judder_level1,stutter_level1,1,judder,level1,stutter,level1,4.5676
Jorge,attic,noise_colors_level0,restir_level0,1,noise_colors,level0,restir,level0,4.9010
Jorge,marbles,dlss_rr_level0,noise_colors_level2,1,dlss_rr,level0,noise_colors,level2,4.8760
Jorge,bistro_interior,temporal-resolution-multiplexing_level0,judder_level2,1,temporal-resolution-multiplexing,level0,judder,level2,5.5884
Jorge,marbles,noise_colors_level1,temporal-resolution-multiplexing_level1,0,noise_colors,level1,temporal-resolution-multiplexing,level1,9.9432
Jorge,bistro_exterior,duration_flicker_level2,dlss_rr_level2,1,duration_flicker,level2,dlss_rr,level2,5.9260
Jorge,bistro_exterior,motion_resolution_level0,motion_resolution_level1,1,motion_resolution,level0,motion_resolution,level1,5.4760
